"site","julian","date","status","month","huc8","ws_watershed"
"02053200",263,"Sep-20","Moderately Wet","Sep","03010204",NA
"02053500",263,"Sep-20","Moderately Dry","Sep","03010203",NA
"02068500",263,"Sep-20","Moderately Wet","Sep","03010103",NA
"02069000",263,"Sep-20","Moderately Wet","Sep","03010103","Dan River (Madison)"
"02070500",263,"Sep-20","Moderately Dry","Sep","03010103",NA
"02071000",263,"Sep-20","Moderately Dry","Sep","03010103","Dan River (Eden)"
"02074000",263,"Sep-20","Moderately Dry","Sep","03010103","Smith River"
"02077200",263,"Sep-20","Extremely Dry","Sep","03010104",NA
"02077303",263,"Sep-20","Very Dry","Sep","03010104",NA
"02077670",263,"Sep-20","Very Wet","Sep","03010104",NA
"02080500",263,"Sep-20","Very Dry","Sep","03010107",NA
"0208111310",263,"Sep-20","Moderately Wet","Sep","03010107",NA
"02081500",263,"Sep-20","Moderately Dry","Sep","03020101",NA
"02081747",263,"Sep-20","Moderately Dry","Sep","03020101",NA
"02081942",263,"Sep-20","Moderately Dry","Sep","03020101",NA
"0208250410",263,"Sep-20","Very Dry","Sep","03020101","Tar River (Rocky Mount)"
"02082585",263,"Sep-20","Very Dry","Sep","03020101",NA
"02082770",263,"Sep-20","Moderately Wet","Sep","03020101",NA
"02082950",263,"Sep-20","Moderately Wet","Sep","03020102",NA
"02083000",263,"Sep-20","Moderately Wet","Sep","03020102",NA
"02083500",263,"Sep-20","Moderately Wet","Sep","03020103",NA
"02084000",263,"Sep-20","Moderately Dry","Sep","03020103",NA
"02084160",263,"Sep-20","Very Dry","Sep","03020103",NA
"02084557",263,"Sep-20","Moderately Wet","Sep","03020104",NA
"02085000",263,"Sep-20","Moderately Dry","Sep","03020201",NA
"02085070",263,"Sep-20","Moderately Dry","Sep","03020201","Eno River (Lower)"
"0208521324",263,"Sep-20","Very Dry","Sep","03020201","Little River (Little River Reservoir)"
"0208524090",263,"Sep-20","Extremely Dry","Sep","03020201","Little River (Little River Reservoir)"
"0208524975",263,"Sep-20","Extremely Dry","Sep","03020201","Falls Lake"
"02085500",263,"Sep-20","Very Dry","Sep","03020201","Flat River (Lake Michie)"
"02086500",263,"Sep-20","Moderately Wet","Sep","03020201","Falls Lake"
"02086624",263,"Sep-20","Extremely Dry","Sep","03020201","Falls Lake"
"0208675010",263,"Sep-20","Extremely Dry","Sep","03020201","Falls Lake"
"02086849",263,"Sep-20","Moderately Dry","Sep","03020201","Falls Lake"
"02087183",263,"Sep-20","Extremely Dry","Sep","03020201","Neuse River (Wake Forest)"
"0208726005",263,"Sep-20","Moderately Wet","Sep","03020201",NA
"02087275",263,"Sep-20","Moderately Wet","Sep","03020201",NA
"02087324",263,"Sep-20","Moderately Wet","Sep","03020201",NA
"0208732534",263,"Sep-20","Extremely Dry","Sep","03020201",NA
"0208732885",263,"Sep-20","Moderately Dry","Sep","03020201",NA
"0208735012",263,"Sep-20","Moderately Dry","Sep","03020201",NA
"02087359",263,"Sep-20","Moderately Dry","Sep","03020201",NA
"02087500",263,"Sep-20","Moderately Dry","Sep","03020201","Neuse River (Johnston County)"
"02087580",263,"Sep-20","Very Dry","Sep","03020201","Swift Creek (Lake Benson)"
"0208758850",263,"Sep-20","Moderately Wet","Sep","03020201","Swift Creek (Lake Benson)"
"0208773375",263,"Sep-20","Moderately Dry","Sep","03020201",NA
"02088000",263,"Sep-20","Moderately Dry","Sep","03020201",NA
"02088383",263,"Sep-20","Moderately Dry","Sep","03020201",NA
"02088500",263,"Sep-20","Moderately Dry","Sep","03020201",NA
"02089000",263,"Sep-20","Very Dry","Sep","03020202",NA
"02089500",263,"Sep-20","Very Dry","Sep","03020202",NA
"02090380",263,"Sep-20","Moderately Dry","Sep","03020203",NA
"02091000",263,"Sep-20","Moderately Dry","Sep","03020203",NA
"02091500",263,"Sep-20","Moderately Dry","Sep","03020203",NA
"02091814",263,"Sep-20","Moderately Dry","Sep","03020202",NA
"02092500",263,"Sep-20","Moderately Dry","Sep","03020204",NA
"02093000",263,"Sep-20","Extremely Dry","Sep","03020302",NA
"02093800",263,"Sep-20","Moderately Wet","Sep","03030002","Reedy Fork"
"02093877",263,"Sep-20","Moderately Dry","Sep","03030002","Reedy Fork"
"0209399200",263,"Sep-20","Extremely Dry","Sep","03030002","Reedy Fork"
"02094500",263,"Sep-20","Moderately Wet","Sep","03030002",NA
"02094659",263,"Sep-20","Extremely Dry","Sep","03030002",NA
"02094770",263,"Sep-20","Extremely Dry","Sep","03030002",NA
"02094775",263,"Sep-20","Extremely Dry","Sep","03030002",NA
"02095000",263,"Sep-20","Very Dry","Sep","03030002",NA
"02095181",263,"Sep-20","Very Dry","Sep","03030002",NA
"02095271",263,"Sep-20","Very Dry","Sep","03030002",NA
"02095500",263,"Sep-20","Extremely Dry","Sep","03030002",NA
"0209553650",263,"Sep-20","Moderately Dry","Sep","03030002",NA
"02096500",263,"Sep-20","Very Dry","Sep","03030002",NA
"02096846",263,"Sep-20","Moderately Wet","Sep","03030002","Cane Creek"
"02096960",263,"Sep-20","Very Dry","Sep","03030002","Haw River (Jordan Lake)"
